2396706	1	få	verb
4554	1	lyst	subst
63839	1	bryte	verb
27743	1	løfte	verb
793	1	røre	subst
3005	1	bitteliten	adj
9161	1	nysgjerrig	adj
68290	1	Hva	subst
459327	1	igjen	adv
118509	1	bort	prep
2993	1	stav	subst
660989	1	hvor	adv
47090	1	pen	adj
?	1	hvalknokkelhus	subst
5332	1	bygge	adj
23726	1	nøyaktig	adj
3112041	1	som	prep
62868	1	bolig	subst
3788	1	innrette	verb
518600	1	slik	adv
25643	1	pleie	verb
9287	1	underlig	adj
2239	1	uro	subst
54840	1	stille	adj
?	1	gangen	adv
161905	1	kort	adj
4	1	mellomrom	subst
?	1	tilbake	adv
36075	1	etterpå	adv
10663	1	forsikre	verb
171932	1	blant	prep
